ABACAVIR MYLAN; 3;;EFFET
ABELCET 1;;
ABIES CANADENSIS BOIRON 4;;
ABILIFY 8;;
ABRAXANE  3;;
ABROTANUM BOIRON 5;;
ABSTRAL  2;;
ABUFENE  3;;
ACADIONE 5;;
BACTERIX 2;;
DICYNONE 8.69;;
DIO 5.64;
DOLENIO 4.1;
DOXY 5.5;
DUKORAL  2.5;
DUPHASTON 6.99;
DUROGESIC 7.99;
DYMISTA 5.99;
EBILFUMIN 6.99;
ECLARAN 5.99;
EDEX 7.99;
GABITRIL 8;
GARDENAL 3;
GENVOYA 1;
GIOTRIF 7;
GYMISO 6;
GONAPEPTYL 4.5;
GRANPIDAM 6.99;
GRISEFULINE  3 ;
GYNO DAKTARIN 8;
HALDOL 2;
HALFAN 4;
HEPSERA  9;
HUMIRA 7;
HYPERIUM 7;
HYPNOMIDATE 4;
HYQVIA 2;
HYTACAND 9;
HYTRINE 6;
HYZAAR 4;
IASOCHOLINE 3;
IBUPROFENE 6;
ICECA 7;
KERLONE 3;
KETREL 3;
MABTHERA 2;
MARSILID  2;
MAXALTLYO 2;
MEDIKINET 2;
MEKINIST 1;
MELADININE 3;
MICARDIS 3;
MIFEGYNE 3;
MYOCET  3;
MYTELASE 3;
NAABAK 2;
NALADOR 3;
NALPAIN 2;
NASONEX 2;
NATRIXAM 5;
NATULAN  4;
NOLVADEX 6;
NOOTROPYL 6;
NUTROPINAQ 10;
PACILIA 2;
PADERYL 4;
PALEXIA 2;
PANADOL 5;
PANRETIN 5;
PARSABIV 7;
PERNAZENE 3;
PHOCYTAN 2;
PIRILENE 1;
PIXUVRI 3;
QLAIRA 2;
QUADRAMET 7;
RANITIDINE 5;
RAPAMUNE 1;
RATANHIA 7;
RECIVIT 3;
REVLIMID  2;
RUTA 1;
SABRIL 5;
SACOLENE 2;
SAFLUTAN  1;
SECNOL 2;
SELEXID 3;
SELINCRO 8;
SELOKEN  3;
SEPTANEST 4;
SIKLOS 7;
SYNEDIL 1;
TAMIFLU 3;
TANAKAN 8;
TASIGNA 9;
TECEOS  1;
TEGELINE 3;
TELMISARTAN 7;
TEMODAL 1;
TOVIAZ  2;
TWYNSTA 8;
TYGACIL 7;
UCEDANE 4;
ULCAR 3;
ULTIVA 2;
ULTRA-LEVURE 5 ;
ULTRAPROCT 1;
ULTRAVIST 3;
UMULINE 1;
UROMITEXAN 5;
UROREC 7;
UVADEX 3;
VADILEX 1;
VALACICLOVIR 8;
VALDOXAN 1;
VALGANCICLOVIR 3;
VENTOLINE 7;
VERAPAMIL  1;
VEXOL 8;
VIBTIL 2;
VIDEX 3;
VISIPAQUE 9;
WAKIX 6;
WELLVONE 3;
WILFACTIN 3;
WILSTART 9;
WILZIN 5;
WYSTAMM 2;
WYTENS 2;
XADAGO 1;
XAGRID 1;
XALACOM 1;
XALATAN 6;
XALKORI 2;
XALUPRINE 8;
XAMIOL 7;
XANAX  3;
XANTHIUM 2 ;
XATRAL 3;
YAZ 2;
YDRALBUM 1;
YELLOX 8;
YERBALAXA 3;
YERVOY 5;
YOCORAL 9;
YONDELIS 1;
YRANICID 2;
YRANOL 6;
YSOMEGA 2;
ZADITEN 3;
ZALASTA 1;
ZARZIO 2;
ZENTEL 4;
ZIAGEN 2;
ZOFENIL 1;
ZOLOFT 3;
ZOMIGORO 8 ;
ZYRTECSET 3;
ZYVOXID 2;

